"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12945","Client app login for ADIDAS ORIGINAL","","Mon Mar 31 09:02:57 IST 2025","passed","Mon Mar 31 09:03:10 IST 2025","","RahulE2ETestPO.spec.js","",""
"","47749","Client app login for ZARA COAT 3","","Mon Mar 31 09:03:41 IST 2025","broken","Mon Mar 31 09:04:29 IST 2025","","RahulE2ETestPO.spec.js","",""
